ips,risk,name,category,type,key,description
"184.107.129.234","",iSight,"Cyber Crime",networks,"184.107.129.234","C&C"
"194.145.208.20","",iSight,"Cyber Crime",networks,"194.145.208.20","C&C"
"198.136.54.104","",iSight,"Cyber Crime",networks,"198.136.54.104","C&C"
"69.90.47.167","",iSight,"Cyber Crime",networks,"69.90.47.167","C&C"
"77.121.139.185","",iSight,"Cyber Crime",networks,"77.121.139.185","C&C"
"46.149.111.26","",iSight,"Cyber Crime",networks,"46.149.111.26","C&C"
"173.243.112.20","",iSight,"Cyber Crime",networks,"173.243.112.20","C&C"
"184.168.152.23","",iSight,"Cyber Crime",networks,"184.168.152.23","C&C"
"50.63.202.90","",iSight,"Cyber Crime",networks,"50.63.202.90","C&C"
"184.168.221.23","",iSight,"Cyber Crime",networks,"184.168.221.23","C&C"
"50.63.202.32","",iSight,"Cyber Crime",networks,"50.63.202.32","C&C"
"97.74.215.37","",iSight,"Cyber Crime",networks,"97.74.215.37","C&C"
"184.168.192.114","",iSight,"Cyber Crime",networks,"184.168.192.114","C&C"
"108.162.194.4","",iSight,"Cyber Crime",networks,"108.162.194.4","C&C"
"108.162.198.183","",iSight,"Cyber Crime",networks,"108.162.198.183","C&C"
"173.201.198.128","",iSight,"Cyber Crime",networks,"173.201.198.128","C&C"
"50.63.202.93","",iSight,"Cyber Crime",networks,"50.63.202.93","C&C"
"184.168.221.15","",iSight,"Cyber Crime",networks,"184.168.221.15","C&C"
"50.62.245.1","",iSight,"Cyber Crime",networks,"50.62.245.1","C&C"
"184.168.27.42","",iSight,"Cyber Crime",networks,"184.168.27.42","C&C"
"146.255.34.161","",iSight,"Cyber Crime",networks,"146.255.34.161","C&C"
"184.168.221.46","",iSight,"Cyber Crime",networks,"184.168.221.46","C&C"
"97.74.215.215","",iSight,"Cyber Crime",networks,"97.74.215.215","C&C"
"50.63.202.30","",iSight,"Cyber Crime",networks,"50.63.202.30","C&C"
"50.63.202.62","",iSight,"Cyber Crime",networks,"50.63.202.62","C&C"
"97.74.215.187","",iSight,"Cyber Crime",networks,"97.74.215.187","C&C"
"184.168.221.28","",iSight,"Cyber Crime",networks,"184.168.221.28","C&C"
"184.168.221.13","",iSight,"Cyber Crime",networks,"184.168.221.13","C&C"
"192.186.215.99","",iSight,"Cyber Crime",networks,"192.186.215.99","C&C"
"97.74.144.138","",iSight,"Cyber Crime",networks,"97.74.144.138","C&C"
"50.63.202.33","",iSight,"Cyber Crime",networks,"50.63.202.33","C&C"
"50.63.202.26","",iSight,"Cyber Crime",networks,"50.63.202.26","C&C"
"50.63.202.19","",iSight,"Cyber Crime",networks,"50.63.202.19","C&C"
"50.62.245.1","",iSight,"Cyber Crime",networks,"50.62.245.1","C&C"
"50.63.202.52","",iSight,"Cyber Crime",networks,"50.63.202.52","C&C"
"50.63.202.49","",iSight,"Cyber Crime",networks,"50.63.202.49","C&C"
"50.63.202.56","",iSight,"Cyber Crime",networks,"50.63.202.56","C&C"
"72.167.232.157","",iSight,"Cyber Crime",networks,"72.167.232.157","C&C"
"50.63.202.32","",iSight,"Cyber Crime",networks,"50.63.202.32","C&C"
"50.63.202.57","",iSight,"Cyber Crime",networks,"50.63.202.57","C&C"
"184.168.221.44","",iSight,"Cyber Crime",networks,"184.168.221.44","C&C"
"184.168.221.11","",iSight,"Cyber Crime",networks,"184.168.221.11","C&C"
"184.168.221.27","",iSight,"Cyber Crime",networks,"184.168.221.27","C&C"
"68.178.254.200","",iSight,"Cyber Crime",networks,"68.178.254.200","C&C"
"184.168.221.48","",iSight,"Cyber Crime",networks,"184.168.221.48","C&C"
"50.63.202.32","",iSight,"Cyber Crime",networks,"50.63.202.32","C&C"
"50.62.236.1","",iSight,"Cyber Crime",networks,"50.62.236.1","C&C"
"50.63.202.32","",iSight,"Cyber Crime",networks,"50.63.202.32","C&C"
"184.168.27.35","",iSight,"Cyber Crime",networks,"184.168.27.35","C&C"
"50.63.202.1","",iSight,"Cyber Crime",networks,"50.63.202.1","C&C"
"184.168.221.60","",iSight,"Cyber Crime",networks,"184.168.221.60","C&C"
"50.63.202.27","",iSight,"Cyber Crime",networks,"50.63.202.27","C&C"
"54.217.185.240","",iSight,"Cyber Crime",networks,"54.217.185.240","C&C"
"50.63.202.63","",iSight,"Cyber Crime",networks,"50.63.202.63","C&C"
"50.63.202.63","",iSight,"Cyber Crime",networks,"50.63.202.63","C&C"
"50.63.202.63","",iSight,"Cyber Crime",networks,"50.63.202.63","C&C"
